,Month,Levels
0,1,14.763
1,2,14.649
2,3,15.085
3,4,16.376
4,5,16.926
5,6,16.774
6,7,16.49
7,8,15.769
8,9,15.18
9,10,14.383
10,11,14.478
11,12,14.364
12,13,13.928
13,14,13.283
14,15,13.7
15,16,15.465
16,17,16.243
17,18,16.49
18,19,16.243
19,20,15.787
20,21,15.446
21,22,14.649
22,23,13.776
23,24,13.188
24,25,13.283
25,26,12.657
26,27,12.979
27,28,13.909
28,29,14.535
29,30,14.877
30,31,14.858
31,32,14.288
32,33,13.947
33,34,13.416
34,35,12.903
35,36,13.454
36,37,13.491
37,38,13.567
38,39,13.397
39,40,14.44
40,41,15.161
41,42,15.427
42,43,15.693
43,44,15.142
44,45,14.763
45,46,14.288
46,47,13.074
47,48,12.543
48,49,12.239
49,50,12.011
50,51,12.827
51,52,13.567
52,53,13.548
53,54,13.302
54,55,13.188
55,56,13.112
56,57,12.827
57,58,12.201
58,59,11.917
59,60,11.803
60,61,11.157
61,62,10.892
62,63,11.12
63,64,12.6
64,65,13.283
65,66,13.416
66,67,13.34
67,68,13.529
68,69,13.776
69,70,14.307
70,71,13.852
71,72,13.833
72,73,13.169
73,74,12.941
74,75,13.188
75,76,14.383
76,77,14.763
77,78,15.218
78,79,15.161
79,80,14.858
80,81,14.156
81,82,13.586
82,83,13.15
83,84,14.137
84,85,14.231
85,86,14.364
86,87,13.833
87,88,14.478
88,89,15.009
89,90,15.617
90,91,16.148
91,92,15.977
92,93,15.142
93,94,14.592
94,95,14.364
95,96,14.497
96,97,14.554
97,98,14.991
98,99,15.863
99,100,17.932
100,101,19.184
101,102,19.184
102,103,18.956
103,104,18.254
104,105,17.514
105,106,16.66
106,107,16.338
107,108,16.319
108,109,17.457
109,110,17.173
110,111,17.856
111,112,18.596
112,113,18.558
113,114,18.159
114,115,17.685
115,116,16.812
116,117,16.072
117,118,15.332
118,119,14.478
119,120,14.213
120,121,13.738
121,122,13.169
122,123,12.581
123,124,13.245
124,125,13.852
125,126,14.175
126,127,14.288
127,128,13.985
128,129,13.435
129,130,12.884
130,131,12.429
131,132,12.41
132,133,13.397
133,134,13.909
134,135,13.833
135,136,14.099
136,137,14.687
137,138,14.611
138,139,14.383
139,140,13.909
140,141,13.359
141,142,12.296
142,143,12.106
143,144,11.803
144,145,12.353
145,146,12.22
146,147,12.827
147,148,14.25
148,149,15.085
149,150,14.953
150,151,14.44
151,152,13.89
152,153,13.036
153,154,12.201
154,155,11.404
155,156,11.309
156,157,10.987
157,158,10.361
158,159,10.304
159,160,11.347
160,161,11.784
161,162,11.841
162,163,11.841
163,164,11.651
164,165,11.404
165,166,10.873
166,167,10.209
167,168,10.076
168,169,10.247
169,170,10.133
170,171,10.74
171,172,11.556
172,173,12.201
173,174,12.505
174,175,12.732
175,176,12.201
176,177,12.068
177,178,11.29
178,179,11.139
179,180,11.101
180,181,10.342
181,182,10.0
182,183,11.347
183,184,12.77
184,185,13.321
185,186,13.34
186,187,13.188
187,188,12.676
188,189,12.315
189,190,12.049
190,191,11.594
191,192,11.252
192,193,12.467
193,194,13.491
194,195,13.491
195,196,14.156
196,197,15.256
197,198,15.598
198,199,16.034
199,200,15.598
200,201,14.516
201,202,13.435
202,203,12.638
203,204,12.106
204,205,12.144
205,206,12.979
206,207,11.917
207,208,15.066
208,209,15.199
209,210,15.427
210,211,15.427
211,212,15.408
212,213,14.706
213,214,14.137
214,215,13.302
215,216,12.979
216,217,13.036
217,218,12.903
218,219,13.719
219,220,14.801
220,221,15.541
221,222,15.617
222,223,15.503
223,224,15.218
224,225,14.592
225,226,13.852
226,227,13.416
227,228,13.055
228,229,12.315
229,230,12.239
230,231,12.562
231,232,13.89
232,233,14.687
233,234,15.313
234,235,15.408
235,236,15.028
236,237,14.782
237,238,14.213
238,239,13.435
239,240,13.662
240,241,14.288
241,242,13.491
242,243,13.15
243,244,13.586
